nombre;url;municipio;telefonos;direccion;codigopostal;detallesObtenidos;fax;email;latitud;longitud;provincia;juez
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;FERNANDEZ MARQUEZ, LORENA
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;GONZALEZ CAMBA, NOEMI
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;GUILLIN MARTINEZ, MELANIE
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;LAMA MARRA, ROSA
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;LOPEZ FERNANDEZ, LEILA MARIA
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;MARTIN MARTIN, HUMBERTO
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;MAYO RODRIGUEZ, MARIA
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;PAILOS NUÑEZ, RICARDO
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;PEREZ LAYA, DAVID
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;RIO GOMEZ, JAVIER DEL
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;ROIS FERNANDEZ, MARIA SOL
Tribunal Superior de Justicia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 20 54;reparto.tsxg@xustiza.gal;43.36654;-8.40725;A Coruña;SANS BESADA, GONZALO
Tribunal Superior de Justicia Presidencia;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia-Presidencia---Coruna--A-?provincia=15;Coruña (A);981 18 20 55981 18 20 57;Praza de Galicia, s/n;15004;True;981 18 22 97;reparto.tsxg@xustiza.gal;43.3648492;-8.4067009;A Coruña;PICATOSTE SUEIRAS, IGNACIO ALFREDO
Tribunal Superior de Justicia. Sala de lo Civil y Penal;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Civil-y-Penal---Coruna--A-?provincia=15;Coruña (A);981 18 48 76981 18 21 40;Praza de Galicia, s/n;15004;True;981 18 48 87;sala1.civilpenal.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;ALAÑON OLMEDO, FERNANDO
Tribunal Superior de Justicia. Sala de lo Civil y Penal;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Civil-y-Penal---Coruna--A-?provincia=15;Coruña (A);981 18 48 76981 18 21 40;Praza de Galicia, s/n;15004;True;981 18 48 87;sala1.civilpenal.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;BALLESTERO PASCUAL, JOSE ANTONIO
Tribunal Superior de Justicia. Sala de lo Civil y Penal;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Civil-y-Penal---Coruna--A-?provincia=15;Coruña (A);981 18 48 76981 18 21 40;Praza de Galicia, s/n;15004;True;981 18 48 87;sala1.civilpenal.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;GOMEZ Y DIAZ-CASTROVERDE, JOSE MARIA
Tribunal Superior de Justicia. Sala de lo Civil y Penal;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Civil-y-Penal---Coruna--A-?provincia=15;Coruña (A);981 18 48 76981 18 21 40;Praza de Galicia, s/n;15004;True;981 18 48 87;sala1.civilpenal.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;SANDE GARCIA, PABLO ANGEL
Tribunal Superior de Justicia. Sala de lo Civil y Penal;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Civil-y-Penal---Coruna--A-?provincia=15;Coruña (A);981 18 48 76981 18 21 40;Praza de Galicia, s/n;15004;True;981 18 48 87;sala1.civilpenal.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;VARELA AGRELO, JOSE ANTONIO
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;BOLAÑO PIÑEIRO, MARIA AMALIA
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;BRAÑA LOPEZ, MARIA DE LOS ANGELES
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;FERNANDEZ BARRIO, LUIS ANGEL
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;FERNANDEZ LEICEAGA, FERNANDO
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;FERNANDEZ LOPEZ, JUAN CARLOS
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;GARCIA LLOVET, ENRIQUE
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;LOPEZ LOPEZ, MARIA DOLORES
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;MARTINEZ QUINTANAR, ANTONIO
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;PARADA LOPEZ, JOSE ANTONIO
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;PAZ EIROA, CRISTINA MARIA
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;RECIO GONZALEZ, MARIA AZUCENA
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;SANCHEZ ROMERO, MONICA
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;SELLES FERREIRO, JUAN
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;SEOANE PESQUEIRA, FERNANDO
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Coruna--A-?provincia=15;Coruña (A);981 18 57 87981 18 57 95;Praza de Galicia, s/n;15004;True;981 18 57 86;sala1.contenciosoadministrativo.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;VILLARES NAVEIRA, LUIS
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;CASTRO MEJUTO, LUIS FERNANDO DE
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;DOMINGUEZ LOPEZ, MANUEL
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;DOVAL LORENTE, EVA MARIA
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;FERNANDEZ DE MATA, EMILIO
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;HAY ALBA, JORGE
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;LOPEZ MOLEDO, MARIA DEL CARMEN
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;LOPEZ PAZ, JOSE ELIAS
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;LOPEZ-ARIAS TESTA, MARTA MARIA
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;LOUSADA AROCHENA, JOSE FERNANDO
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;MERINO PALAZUELO, JOSE ANTONIO
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;NAVEIRO SANTOS, RAQUEL MARIA
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;RAMA INSUA, BEATRIZ
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;REY EIBE, MARIA ANTONIA
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;VILLARINO MOURE, CARLOS
Tribunal Superior de Justicia. Sala de lo Social;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Coruna--A-?provincia=15;Coruña (A);981 18 49 59981 18 48 45;Praza de Galicia, s/n;15004;True;981 18 22 11;sala1.social.tsxg@xustiza.gal;43.36485;-8.406701;A Coruña;YEBRA-PIMENTEL VILAR, PILAR
Audiencia Provincial Penal nº 1;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--1---Coruna--A-?provincia=15;Coruña (A);981 18 20 66981 18 20 67;Rúa das Cigarreras, 1;15006;True;981 18 20 65;seccion1.ap.coruna@xustiza.gal;43.35809;-8.401462;A Coruña;LAMAZARES LOPEZ, MARIA LUCIA
Audiencia Provincial Penal nº 1;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--1---Coruna--A-?provincia=15;Coruña (A);981 18 20 66981 18 20 67;Rúa das Cigarreras, 1;15006;True;981 18 20 65;seccion1.ap.coruna@xustiza.gal;43.35809;-8.401462;A Coruña;MORAN LLORDEN, ALEJANDRO
Audiencia Provincial Penal nº 1;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--1---Coruna--A-?provincia=15;Coruña (A);981 18 20 66981 18 20 67;Rúa das Cigarreras, 1;15006;True;981 18 20 65;seccion1.ap.coruna@xustiza.gal;43.35809;-8.401462;A Coruña;PASTOR NOVO, ELENA FERNANDA
Audiencia Provincial Penal nº 2;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--2---Coruna--A-?provincia=15;Coruña (A);981 18 20 74981 18 20 75;Rúa das Cigarreras, 1;15006;True;981 18 20 73;seccion2.ap.coruna@xustiza.gal;43.35809;-8.401462;A Coruña;BARRIENTOS MONGE, LUIS
